Account,Index,AARE,Threshold
10042B7C8,9,0.9303057309062558,0.7230941536700384
10042B7C8,46,0.4085729255816718,0.39689804548040986
10042B7C8,72,0.3651229635175661,0.36505532892347514
10042B7C8,107,0.34725978496881577,0.33770567359792036
10042B7C8,115,0.36526865444144824,0.34109264305896925
10042B7C8,118,0.3688363721481731,0.3449326031858887
10042B7C8,119,0.7323757636306836,0.36518784502835183
10042B7C8,125,1.0985648575028242,0.40299817628112544
10042B7C8,133,0.4263985138802046,0.4019066816672473
10042B7C8,135,0.574999584208004,0.4087999510607303
10042B7C8,139,1.2695426821601608,0.4507594403921322
10042B7C8,151,0.5780583169301676,0.4574180583931303
10042B7C8,158,0.5318780603288727,0.45737833957664764
10042B7C8,205,0.6369886861862519,0.43855627376626016
10042B7C8,212,0.5033582820299517,0.4417005149909874
10042B7C8,216,0.47181394204766286,0.4435843411094189
10042B7C8,222,0.5175665435142395,0.44319227389040816
10042B7C8,234,0.664013670642365,0.4481727877529323
10042B7C8,259,0.5609850995088086,0.44610558975119535
10042B7C8,262,1.3565064690565662,0.47185276749853833
10042B7C8,296,0.488068715118256,0.4629077782578759
10042B7C8,332,0.7476880514722654,0.4585171478936685
10042B7C8,350,0.8808160099349513,0.45866708148286395
10042B7C8,353,0.48427931469931823,0.45954344123138424
10042B7C8,388,1.07685200723733,0.46435887286587957
10042B7C8,405,0.5880346810776323,0.459976219539991
10042B7C8,428,0.7499671012538482,0.45803773426699756
10042B7C8,453,0.46920886913522336,0.45386631874422423
10042B7C8,457,0.5328749734988127,0.454344349706843
10042B7C8,470,0.743453686638959,0.45494842247684913
10042B7C8,472,0.4898676180742165,0.4557134697037625
10042B7C8,480,0.6371321430317458,0.45651085196966523
10042B7C8,513,0.4592497075067415,0.4488321447310555
10042B7C8,531,0.8668642624387132,0.4499285411833197
10042B7C8,559,0.755254875137316,0.4488091568445457
10042B810,11,0.4673831562678843,0.4201570320301461
10042B810,15,29.018076702581336,13.938232070750947
10042B810,210,4.645633782067582,3.6239755710454338
10042B810,237,4.002778619616492,3.4548501688477966
10042B810,247,7.9258472715717065,3.515583781022804
10042B810,291,4.532427556205424,3.3182678865196213
10042B810,312,3.756913971856247,3.2360029704262665
10042B810,367,18.369292745052135,3.4190018092490955
10042B810,427,124.34245802628168,10.197177291183186
10042B810,438,26.28516317702379,10.308695796811621
10042B810,637,94.03262606290006,10.45397531084987
10042B8E8,13,1.0795227183509533,0.8327895621311523
10042B8E8,52,0.5112555913193298,0.5056638955107581
10042B8E8,66,0.6415635451385686,0.5024845945649401
10042B8E8,75,0.657386713705844,0.5011018830601272
10042B8E8,95,0.7363841860058229,0.48550301314525385
10042B8E8,103,0.6176673973051591,0.483472502134453
10042B8E8,109,0.5174773632952715,0.48660793786564893
10042B8E8,137,1.031393411598498,0.49555272528076233
10042B8E8,138,0.557377371971411,0.5005400313031364
10042B8E8,144,0.8272317959498621,0.5154202083752679
10042B8E8,149,0.560212422739025,0.5201096594823327
10042B8E8,155,0.5564376853535963,0.5192515833761254
10042B8E8,166,0.95112525675257,0.5266895328865064
10042B8E8,172,0.5538576066385333,0.5276064501897371
10042B8E8,174,0.5312578560518859,0.5296143538823863
10042B8E8,182,1.6486321462993923,0.5789057115902294
10042B8E8,184,2.133131627771484,0.647049802616984
10042B8E8,186,1.137599552111765,0.6612034911363158
10042B8E8,193,1.3517743720983273,0.6757117673995177
10042B8E8,206,0.7167875819038925,0.6766530489965432
10042B8E8,268,0.7484129638868511,0.6280487516866493
10042B8E8,269,0.8276591019318035,0.6332130045781315
10042B8E8,274,0.7976344877479674,0.6347237120803405
10042B8E8,280,0.6797516620094154,0.6352350156690705
10042B8E8,312,0.6692032261630989,0.6226331020537921
10042B8E8,319,0.72901218359005,0.6237623158593186
10042B8E8,325,1.0705530194713255,0.6295137419025268
10042B8E8,327,1.86806325570045,0.6563799508671841
10042B8E8,350,25.802299433909095,2.4115090670297112
10042B8E8,404,2.4082179284761014,2.272832910064525
